U,1189281061232253,4189281061232253,20
U,1189281061232261,4189281061232261,20
U,1189281061232279,4189281061232279,20
U,1189281061232287,4189281061232287,20
U,1189281061232295,4189281061232295,20
U,1189281061232303,4189281061232303,20
U,1189281061232311,4189281061232311,20
U,1189281061232329,4189281061232329,20
U,1189281061232337,4189281061232337,20
U,1189281061232345,4189281061232345,20
U,1189281061232352,4189281061232352,20
U,1189281061232360,4189281061232360,20
U,1189281061232378,4189281061232378,20
U,1189281061232386,4189281061232386,20
U,1189281061232394,4189281061232394,20
U,1189281061232402,4189281061232402,20
U,1189281061232410,4189281061232410,20
U,1189281061232428,4189281061232428,20
U,1189281061232436,4189281061232436,20
U,1189281061232444,4189281061232444,20
U,1189281061232451,4189281061232451,20
U,1189281061232469,4189281061232469,20
U,1189281061232477,4189281061232477,20
U,1189281061232485,4189281061232485,20
U,1189281061232493,4189281061232493,20
U,1189281061232501,4189281061232501,20
U,1189281061232519,4189281061232519,20
U,1189281061232527,4189281061232527,20
U,1189281061232535,4189281061232535,20
U,1189281061232543,4189281061232543,20
U,1189281061232550,4189281061232550,20
U,1189281061232568,4189281061232568,20
U,1189281061232576,4189281061232576,20
U,1189281061232584,4189281061232584,20
U,1189281061232592,4189281061232592,20
